area,rooms,bathroom,price,link,latitude,longitude
81,1,2,652207,https://www.vivareal.com.br/imoveis-lancamento/residencial-amalfi-2567563319/,-27.5891552,-48.5418747
90,3,2,980000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-90m2-venda-RS980000-id-2559172578/,-27.4388938,-48.4821589
77,2,2,795000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-77m2-venda-RS795000-id-2563930286/,-27.5919535,-48.4922007
76,2,2,880000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rio-tavares-bairros-florianopolis-com-garagem-76m2-venda-RS880000-id-2562445360/,-27.6544777,-48.474256
70,2,2,650000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-venda-RS650000-id-2489978282/,-27.5773831,-48.5127892
74,3,1,320000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-74m2-venda-RS320000-id-2510253306/,-27.5970155,-48.5749891
83,2,2,750000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-83m2-venda-RS750000-id-2567514294/,-27.4341444,-48.3934617
109,3,4,1332000,https://www.vivareal.com.br/imoveis-lancamento/residencial-lago-di-garda-109m-2567568678/,-27.5875374,-48.5393833
75,2,2,599000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-75m2-venda-RS599000-id-2572024608/,-27.581962,-48.5903926
72,2,2,420000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-72m2-venda-RS420000-id-2571353526/,-27.4284475,-48.4061403
120,3,4,1850000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-internacional-bairros-florianopolis-com-garagem-120m2-venda-RS1850000-id-2541993377/,-27.4488287,-48.5075892
77,2,1,520000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-77m2-venda-RS520000-id-2570812880/,-27.59695445,-48.545272301474
83,2,2,555000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-83m2-venda-RS555000-id-2550554065/,-27.4222713,-48.4022178
72,2,2,628536,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-72m2-venda-RS628536-id-2543717112/,-27.5903218,-48.5218346
110,2,1,400000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-110m2-venda-RS400000-id-2510672976/,-27.4211092,-48.4337457
96,3,2,590000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-96m2-venda-RS590000-id-2557035048/,-27.6008825,-48.5094298
90,3,2,580000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saco-grande-bairros-florianopolis-com-garagem-90m2-venda-RS580000-id-2543019730/,-27.537539,-48.5071078
